"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,86.022,-81.520,1471.281019,0.000000,0.744542,0.000000
14 Mar 2023 04:01:00.000,84.950,-43.674,1471.217795,-0.031974,0.460907,-0.002108
14 Mar 2023 04:02:00.000,82.615,-24.471,1471.028870,-0.043734,0.213971,-0.004190
14 Mar 2023 04:03:00.000,79.854,-15.141,1470.716472,-0.047761,0.111990,-0.006224
14 Mar 2023 04:04:00.000,76.934,-9.961,1470.284287,-0.049464,0.066370,-0.008184
14 Mar 2023 04:05:00.000,73.941,-6.755,1469.737418,-0.050324,0.042954,-0.010047
14 Mar 2023 04:06:00.000,70.908,-4.617,1469.082323,-0.050820,0.029547,-0.011791
14 Mar 2023 04:07:00.000,67.852,-3.114,1468.326743,-0.051135,0.021217,-0.013396
14 Mar 2023 04:08:00.000,64.781,-2.019,1467.479617,-0.051351,0.015711,-0.014843
14 Mar 2023 04:09:00.000,61.698,-1.198,1466.550970,-0.051510,0.011893,-0.016114
14 Mar 2023 04:10:00.000,58.607,-0.573,1465.551805,-0.051633,0.009142,-0.017194
14 Mar 2023 04:11:00.000,55.509,-0.090,1464.493973,-0.051732,0.007099,-0.018070
14 Mar 2023 04:12:00.000,52.406,0.287,1463.390032,-0.051816,0.005544,-0.018731
14 Mar 2023 04:13:00.000,49.298,0.581,1462.253106,-0.051888,0.004335,-0.019169
14 Mar 2023 04:14:00.000,46.186,0.811,1461.096723,-0.051953,0.003380,-0.019379
14 Mar 2023 04:15:00.000,43.070,0.989,1459.934663,-0.052010,0.002614,-0.019358
14 Mar 2023 04:16:00.000,39.951,1.126,1458.780787,-0.052063,0.001994,-0.019106
14 Mar 2023 04:17:00.000,36.829,1.229,1457.648879,-0.052111,0.001486,-0.018626
14 Mar 2023 04:18:00.000,33.705,1.305,1456.552473,-0.052155,0.001069,-0.017923
14 Mar 2023 04:19:00.000,30.578,1.358,1455.504697,-0.052195,0.000723,-0.017005
14 Mar 2023 04:20:00.000,27.448,1.392,1454.518110,-0.052231,0.000437,-0.015883
14 Mar 2023 04:21:00.000,24.317,1.410,1453.604551,-0.052264,0.000201,-0.014571
14 Mar 2023 04:22:00.000,21.183,1.416,1452.774992,-0.052293,0.000006,-0.013083
14 Mar 2023 04:23:00.000,18.048,1.411,1452.039408,-0.052318,-0.000152,-0.011438
14 Mar 2023 04:24:00.000,14.912,1.397,1451.406648,-0.052340,-0.000279,-0.009655
14 Mar 2023 04:25:00.000,11.774,1.377,1450.884332,-0.052357,-0.000378,-0.007756
14 Mar 2023 04:26:00.000,8.636,1.351,1450.478754,-0.052371,-0.000452,-0.005764
14 Mar 2023 04:27:00.000,5.496,1.322,1450.194802,-0.052380,-0.000501,-0.003702
14 Mar 2023 04:28:00.000,2.357,1.291,1450.035901,-0.052385,-0.000529,-0.001595
14 Mar 2023 04:29:00.000,-0.783,1.258,1450.003967,-0.052386,-0.000534,0.000531
14 Mar 2023 04:30:00.000,-3.923,1.226,1450.099386,-0.052383,-0.000518,0.002650
14 Mar 2023 04:31:00.000,-7.062,1.195,1450.321007,-0.052376,-0.000480,0.004738
14 Mar 2023 04:32:00.000,-10.201,1.168,1450.666156,-0.052365,-0.000418,0.006768
14 Mar 2023 04:33:00.000,-13.340,1.145,1451.130673,-0.052349,-0.000332,0.008717
14 Mar 2023 04:34:00.000,-16.477,1.128,1451.708958,-0.052330,-0.000220,0.010560
14 Mar 2023 04:35:00.000,-19.612,1.118,1452.394047,-0.052306,-0.000077,0.012277
14 Mar 2023 04:36:00.000,-22.747,1.118,1453.177693,-0.052279,0.000099,0.013846
14 Mar 2023 04:37:00.000,-25.879,1.130,1454.050470,-0.052248,0.000313,0.015248
14 Mar 2023 04:38:00.000,-29.010,1.155,1455.001890,-0.052213,0.000573,0.016467
14 Mar 2023 04:39:00.000,-32.138,1.198,1456.020531,-0.052175,0.000887,0.017489
14 Mar 2023 04:40:00.000,-35.264,1.262,1457.094176,-0.052133,0.001267,0.018301
14 Mar 2023 04:41:00.000,-38.387,1.351,1458.209963,-0.052087,0.001727,0.018894
14 Mar 2023 04:42:00.000,-41.508,1.470,1459.354542,-0.052037,0.002287,0.019261
14 Mar 2023 04:43:00.000,-44.625,1.627,1460.514233,-0.051982,0.002976,0.019398
14 Mar 2023 04:44:00.000,-47.739,1.829,1461.675192,-0.051921,0.003829,0.019303
14 Mar 2023 04:45:00.000,-50.849,2.089,1462.823579,-0.051853,0.004902,0.018979
14 Mar 2023 04:46:00.000,-53.955,2.422,1463.945719,-0.051776,0.006269,0.018428
14 Mar 2023 04:47:00.000,-57.055,2.848,1465.028265,-0.051685,0.008046,0.017659
14 Mar 2023 04:48:00.000,-60.150,3.397,1466.058359,-0.051575,0.010408,0.016680
14 Mar 2023 04:49:00.000,-63.237,4.111,1467.023775,-0.051436,0.013634,0.015503
14 Mar 2023 04:50:00.000,-66.315,5.056,1467.913071,-0.051252,0.018193,0.014142
14 Mar 2023 04:51:00.000,-69.379,6.334,1468.715714,-0.050994,0.024916,0.012614
