"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,86.022,-141.520,1471.281019,0.000000,0.744542,0.000000
14 Mar 2023 04:01:00.000,84.950,-103.674,1471.217795,-0.031974,0.460907,-0.002108
14 Mar 2023 04:02:00.000,82.615,-84.471,1471.028870,-0.043734,0.213971,-0.004190
14 Mar 2023 04:03:00.000,79.854,-75.141,1470.716472,-0.047761,0.111990,-0.006224
14 Mar 2023 04:04:00.000,76.934,-69.961,1470.284287,-0.049464,0.066370,-0.008184
14 Mar 2023 04:05:00.000,73.941,-66.755,1469.737418,-0.050324,0.042954,-0.010047
14 Mar 2023 04:06:00.000,70.908,-64.617,1469.082323,-0.050820,0.029547,-0.011791
14 Mar 2023 04:07:00.000,67.852,-63.114,1468.326743,-0.051135,0.021217,-0.013396
14 Mar 2023 04:08:00.000,64.781,-62.019,1467.479617,-0.051351,0.015711,-0.014843
14 Mar 2023 04:09:00.000,61.698,-61.198,1466.550970,-0.051510,0.011893,-0.016114
14 Mar 2023 04:10:00.000,58.607,-60.573,1465.551805,-0.051633,0.009142,-0.017194
14 Mar 2023 04:11:00.000,55.509,-60.090,1464.493973,-0.051732,0.007099,-0.018070
14 Mar 2023 04:12:00.000,52.406,-59.713,1463.390032,-0.051816,0.005544,-0.018731
14 Mar 2023 04:13:00.000,49.298,-59.419,1462.253106,-0.051888,0.004335,-0.019169
14 Mar 2023 04:14:00.000,46.186,-59.189,1461.096723,-0.051953,0.003380,-0.019379
14 Mar 2023 04:15:00.000,43.070,-59.011,1459.934663,-0.052010,0.002614,-0.019358
14 Mar 2023 04:16:00.000,39.951,-58.874,1458.780787,-0.052063,0.001994,-0.019106
14 Mar 2023 04:17:00.000,36.829,-58.771,1457.648879,-0.052111,0.001486,-0.018626
14 Mar 2023 04:18:00.000,33.705,-58.695,1456.552473,-0.052155,0.001069,-0.017923
14 Mar 2023 04:19:00.000,30.578,-58.642,1455.504697,-0.052195,0.000723,-0.017005
14 Mar 2023 04:20:00.000,27.448,-58.608,1454.518110,-0.052231,0.000437,-0.015883
14 Mar 2023 04:21:00.000,24.317,-58.590,1453.604551,-0.052264,0.000201,-0.014571
14 Mar 2023 04:22:00.000,21.183,-58.584,1452.774992,-0.052293,0.000006,-0.013083
14 Mar 2023 04:23:00.000,18.048,-58.589,1452.039407,-0.052318,-0.000152,-0.011438
14 Mar 2023 04:24:00.000,14.912,-58.603,1451.406648,-0.052340,-0.000279,-0.009655
14 Mar 2023 04:25:00.000,11.774,-58.623,1450.884332,-0.052357,-0.000378,-0.007756
